date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:23	23872/23872	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:05%20GMT	http://envato.megadrupal.com/html/gofar/destinations-list.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-list.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:23	21702/21702	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:00%20GMT	http://envato.megadrupal.com/html/gofar/destinations-grid.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-grid.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:24	22534/22534	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:09%20GMT	http://envato.megadrupal.com/html/gofar/destinations-trip.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-trip.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:24	22793/22793	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:02%20GMT	http://envato.megadrupal.com/html/gofar/destinations-hotel.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-hotel.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:24	20609/20609	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:52%20GMT	http://envato.megadrupal.com/html/gofar/destinations-attraction.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-attraction.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:25	23398/23398	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:55%20GMT	http://envato.megadrupal.com/html/gofar/destinations-flight.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-flight.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:25	23905/23905	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:04%20GMT	http://envato.megadrupal.com/html/gofar/destinations-list-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-list-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:25	23434/23434	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:07%20GMT	http://envato.megadrupal.com/html/gofar/destinations-train.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-train.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:25	21703/21703	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:57%20GMT	http://envato.megadrupal.com/html/gofar/destinations-grid-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-grid-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:25	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202017%2017:50:28%20GMT	http://envato.megadrupal.com/html/gofar/revslider-demo/assets/gridtile.png	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/revslider-demo/assets/gridtile.png	(from http://envato.megadrupal.com/html/gofar/revslider-demo/css/settings.css)
23:20:26	22582/22582	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:08%20GMT	http://envato.megadrupal.com/html/gofar/destinations-trip-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-trip-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:26	22917/22917	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:01%20GMT	http://envato.megadrupal.com/html/gofar/destinations-hotel-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-hotel-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:26	20606/20606	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:50%20GMT	http://envato.megadrupal.com/html/gofar/destinations-attraction-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-attraction-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	23517/23517	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:53%20GMT	http://envato.megadrupal.com/html/gofar/destinations-flight-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-flight-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	24958/24958	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:42%20GMT	http://envato.megadrupal.com/html/gofar/trip-detail.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/trip-detail.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	23246/23246	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:40%20GMT	http://envato.megadrupal.com/html/gofar/trip-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/trip-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	22313/22313	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:43%20GMT	http://envato.megadrupal.com/html/gofar/trip.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/trip.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	23411/23411	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:06%20GMT	http://envato.megadrupal.com/html/gofar/destinations-train-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-train-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	22379/22379	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:19%20GMT	http://envato.megadrupal.com/html/gofar/hotel.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/hotel.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:27	26222/26222	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:41%20GMT	http://envato.megadrupal.com/html/gofar/trip-detail-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/trip-detail-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:28	31221/31221	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:18%20GMT	http://envato.megadrupal.com/html/gofar/hotel-detail.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/hotel-detail.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:28	31244/31244	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:17%20GMT	http://envato.megadrupal.com/html/gofar/hotel-detail-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/hotel-detail-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:28	23540/23540	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:14%20GMT	http://envato.megadrupal.com/html/gofar/flight.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/flight.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:28	22402/22402	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:15%20GMT	http://envato.megadrupal.com/html/gofar/hotel-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/hotel-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:28	23567/23567	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:12%20GMT	http://envato.megadrupal.com/html/gofar/flight-detail.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/flight-detail.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:29	23613/23613	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:10%20GMT	http://envato.megadrupal.com/html/gofar/flight-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/flight-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:29	23590/23590	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:11%20GMT	http://envato.megadrupal.com/html/gofar/flight-detail-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/flight-detail-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:29	23705/23705	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:39%20GMT	http://envato.megadrupal.com/html/gofar/train.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/train.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:30	23608/23608	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:38%20GMT	http://envato.megadrupal.com/html/gofar/train-detail.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/train-detail.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:30	23728/23728	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:36%20GMT	http://envato.megadrupal.com/html/gofar/train-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/train-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:30	23631/23631	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:37%20GMT	http://envato.megadrupal.com/html/gofar/train-detail-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/train-detail-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:30	20407/20407	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:38%20GMT	http://envato.megadrupal.com/html/gofar/attraction.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/attraction.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:31	21158/21158	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:37%20GMT	http://envato.megadrupal.com/html/gofar/attraction-detail.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/attraction-detail.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:31	20430/20430	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:36%20GMT	http://envato.megadrupal.com/html/gofar/attraction-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/attraction-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:31	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202017%2017:50:33%20GMT	http://envato.megadrupal.com/html/gofar/attraction-detail-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/attraction-detail-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:31	16683/16683	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:40%20GMT	http://envato.megadrupal.com/html/gofar/blog.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/blog.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:32	22020/22020	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:35%20GMT	http://envato.megadrupal.com/html/gofar/single-post.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/single-post.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:32	16875/16875	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:39%20GMT	http://envato.megadrupal.com/html/gofar/blog-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/blog-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:32	22043/22043	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:34%20GMT	http://envato.megadrupal.com/html/gofar/single-post-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/single-post-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:33	11883/11883	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:27%20GMT	http://envato.megadrupal.com/html/gofar/login.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/login.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:33	12008/12008	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:30%20GMT	http://envato.megadrupal.com/html/gofar/register.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/register.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:33	19606/19606	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:47%20GMT	http://envato.megadrupal.com/html/gofar/checkout-yourcart.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-yourcart.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:34	16258/16258	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:44%20GMT	http://envato.megadrupal.com/html/gofar/checkout-customer.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-customer.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:34	14366/14366	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:42%20GMT	http://envato.megadrupal.com/html/gofar/checkout-complete.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-complete.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:34	19644/19644	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:45%20GMT	http://envato.megadrupal.com/html/gofar/checkout-yourcart-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-yourcart-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:34	16296/16296	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:43%20GMT	http://envato.megadrupal.com/html/gofar/checkout-customer-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-customer-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:35	14389/14389	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:41%20GMT	http://envato.megadrupal.com/html/gofar/checkout-complete-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/checkout-complete-dark.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:35	27022/27022	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:33%20GMT	http://envato.megadrupal.com/html/gofar/shortcode.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/shortcode.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:35	14732/14732	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:49%20GMT	http://envato.megadrupal.com/html/gofar/contact.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/contact.html	(from http://envato.megadrupal.com/html/gofar/)
23:20:36	14755/14755	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:48%20GMT	http://envato.megadrupal.com/html/gofar/contact-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/contact-dark.html	(from http://envato.megadrupal.com/html/gofar/)
